"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response"
"16",1946,"PhD","Single",82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,"0","0","1","1","0","0","1"
"19",1949,"Master","Married",76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,"0","0","0","1","0","0","0"
"54",1977,"Graduation","Divorced",82582,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,"1","0","0","1","0","0","1"
"68",1979,"2n Cycle","Single",88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,"1","0","0","1","0","0","1"
"88",1957,"Graduation","Single",50388,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,"0","1","0","1","0","0","1"
"99",1951,"2n Cycle","Married",78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0"
"117",1970,"Graduation","Married",90765,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,"0","0","1","1","0","0","0"
"125",1983,"Graduation","Single",101970,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,"0","1","1","1","0","0","1"
"177",1948,"PhD","Married",83837,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,"0","1","0","1","0","0","1"
"180",1951,"2n Cycle","Married",78497,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,"0","0","0","1","0","0","0"
"204",1977,"PhD","Together",102160,0,0,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4,"0","1","1","1","0","0","1"
"244",1990,"Graduation","Married",73687,0,0,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2,"0","0","0","1","0","0","1"
"247",1972,"Graduation","Married",80134,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6,"0","1","1","1","0","0","1"
"253",1974,"Graduation","Divorced",102692,0,0,2013-04-05,5,168,148,444,32,172,148,1,6,9,13,2,"0","1","1","1","1","0","1"
"279",1986,"PhD","Single",69867,0,0,2013-04-02,30,196,0,512,33,130,54,1,3,5,8,1,"0","0","0","1","0","0","1"
"306",1961,"Master","Married",80950,0,0,2013-03-28,44,525,147,112,219,147,63,1,6,7,9,2,"0","0","0","1","0","0","0"
"337",1968,"Graduation","Divorced",75693,0,0,2012-12-06,10,797,153,293,72,97,30,1,11,4,6,4,"0","1","1","1","0","0","1"
"413",1955,"PhD","Married",66465,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,"0","0","0","1","0","0","0"
"418",1994,"Graduation","Together",80134,0,0,2014-02-14,11,966,26,282,52,26,26,1,2,7,11,5,"0","1","1","1","1","0","0"
"419",1981,"Graduation","Single",91065,0,0,2013-02-22,33,822,114,108,179,137,114,1,7,9,9,3,"0","0","1","1","0","0","1"
"427",1986,"Graduation","Married",92910,0,0,2014-04-24,42,551,137,792,179,103,33,1,6,7,13,1,"0","1","1","1","0","0","0"
"428",1989,"Graduation","Married",75433,1,0,2014-04-05,28,800,0,297,0,34,57,2,2,5,10,6,"0","1","0","1","0","0","0"
"431",1961,"PhD","Single",84865,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,"0","1","1","1","1","0","1"
"448",1964,"Graduation","Single",81246,0,0,2013-12-29,87,398,190,537,61,156,37,1,4,5,7,1,"1","0","0","1","0","0","0"
"457",1966,"2n Cycle","Single",89572,0,0,2012-09-15,44,606,24,974,197,194,64,1,7,7,9,4,"0","1","0","1","0","0","1"
"461",1964,"Graduation","Married",60597,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,"0","0","0","1","0","0","1"
"493",1955,"Graduation","Together",76005,0,0,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,"0","0","0","1","0","0","0"
"520",1944,"Master","Married",80184,0,0,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,"0","0","1","1","0","0","0"
"560",1959,"Graduation","Together",87771,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,"0","1","1","1","1","0","1"
"576",1977,"PhD","Married",61996,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,"0","1","0","1","1","0","1"
"587",1955,"Graduation","Widow",79800,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,"1","0","1","1","0","0","1"
"592",1975,"Master","Married",92163,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,"0","0","1","1","0","0","1"
"610",1965,"Graduation","Married",81168,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,"0","0","0","1","0","0","0"
"625",1955,"2n Cycle","Married",72635,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,"0","0","0","1","0","0","0"
"647",1970,"Graduation","Together",105471,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,"0","0","1","1","0","0","1"
"677",1963,"PhD","Married",81300,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,"0","0","0","1","0","0","1"
"689",1989,"PhD","Together",77845,0,0,2014-05-16,40,760,40,480,0,40,26,1,3,5,12,1,"0","0","1","1","0","0","0"
"700",1960,"Graduation","Together",78468,0,0,2014-04-09,29,434,22,388,104,22,34,1,10,7,10,4,"0","0","0","1","0","0","0"
"704",1988,"Master","Single",90247,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,"0","1","1","1","0","0","1"
"727",1955,"Graduation","Married",80395,0,0,2013-11-23,62,445,25,706,80,76,48,1,6,5,12,2,"0","0","0","1","0","0","0"
"735",1973,"Graduation","Divorced",89694,1,1,2013-10-09,22,1126,28,211,37,28,42,3,4,3,4,5,"0","1","1","1","0","0","0"
"736",1949,"Graduation","Married",72025,0,0,2014-04-29,46,967,0,617,43,50,0,1,4,8,13,2,"0","1","1","1","0","0","1"
"745",1964,"Graduation","Married",82224,0,0,2014-01-25,83,307,26,360,138,31,40,1,6,9,5,3,"0","0","0","1","0","0","0"
"754",1969,"Graduation","Married",80952,0,0,2013-02-28,20,778,178,689,41,27,44,1,8,5,11,8,"0","1","1","1","0","0","1"
"792",1957,"PhD","Married",82017,0,0,2012-11-07,58,184,23,446,30,23,23,1,5,4,7,2,"0","1","1","1","0","0","1"
"805",1958,"Graduation","Married",48192,0,0,2013-04-06,76,1039,43,204,153,58,29,3,2,8,12,8,"0","1","0","1","1","0","1"
"821",1980,"PhD","Single",76412,0,0,2013-05-05,15,840,53,804,23,71,17,1,5,4,8,3,"0","0","1","1","0","0","1"
"825",1959,"Graduation","Together",87771,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,"0","1","1","1","1","0","1"
"853",1957,"2n Cycle","Married",82347,0,0,2012-11-06,38,556,54,845,202,133,63,1,7,7,10,3,"1","0","0","1","0","0","0"
"855",1974,"PhD","Married",46374,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,"0","1","0","1","0","0","1"
"876",1953,"Graduation","Together",80812,0,0,2013-09-17,95,769,22,500,210,143,33,1,4,8,5,2,"1","0","1","1","0","0","0"
"907",1961,"Graduation","Single",86429,0,0,2013-11-21,10,464,28,873,29,18,37,0,7,4,7,2,"0","0","0","1","0","0","1"
"920",1954,"PhD","Single",74637,0,0,2013-05-18,73,960,64,464,146,0,16,1,6,9,9,3,"0","0","0","1","0","0","0"
"925",1986,"Graduation","Together",83033,1,0,2014-05-18,82,812,99,431,237,149,33,1,11,4,10,5,"0","0","0","1","0","0","0"
"927",1978,"Graduation","Married",77583,0,0,2014-02-10,93,372,23,384,250,12,108,1,4,5,9,2,"0","0","0","1","0","0","0"
"938",1970,"PhD","Married",67536,0,1,2013-05-22,45,1253,0,447,23,71,35,3,11,5,11,8,"0","0","0","1","0","0","0"
"944",1953,"Graduation","Together",94384,0,0,2013-03-04,62,1111,24,790,160,45,172,0,5,8,5,2,"0","1","1","1","0","0","1"
"967",1973,"Graduation","Married",92955,0,0,2013-08-19,35,693,21,925,31,24,84,1,6,7,9,2,"0","0","1","1","0","0","1"
"985",1950,"Graduation","Married",80763,0,0,2013-08-15,17,674,168,108,192,42,231,1,5,11,6,3,"0","0","1","1","0","0","1"
"988",1969,"Graduation","Married",75759,0,0,2013-10-25,46,1394,22,708,89,91,182,1,9,7,9,5,"1","0","1","1","0","0","1"
"991",1954,"Graduation","Divorced",85683,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,"0","1","1","1","1","0","1"
"997",1978,"Graduation","Together",75437,0,0,2013-11-09,25,795,0,545,95,58,0,1,8,4,10,6,"0","0","0","1","0","0","0"
"1002",1987,"PhD","Single",95169,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,"0","0","1","1","0","0","1"
"1003",1981,"2n Cycle","Married",56337,1,1,2013-03-27,25,349,16,144,28,5,182,5,8,5,4,8,"1","0","0","1","0","0","1"
"1011",1979,"Graduation","Together",77568,0,1,2012-08-25,30,1230,0,396,232,178,158,1,10,2,8,5,"0","1","1","1","0","0","0"
"1044",1962,"Graduation","Together",76081,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,"0","0","0","1","0","0","0"
"1067",1992,"Graduation","Single",83528,0,0,2014-05-01,7,530,117,678,134,44,147,1,4,10,8,1,"1","0","0","1","0","0","1"
"1076",1961,"Graduation","Together",88347,0,0,2013-07-03,32,1050,178,555,77,138,118,1,4,7,9,1,"0","0","0","1","0","0","0"
"1085",1970,"Master","Single",75345,0,0,2013-02-02,16,918,57,842,99,38,133,1,5,8,6,3,"0","0","0","1","0","0","1"
"1088",1958,"PhD","Together",84460,0,0,2013-01-04,80,152,27,103,106,54,81,0,9,9,4,5,"0","1","1","1","1","0","1"
"1101",1975,"Graduation","Divorced",83829,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,"1","0","1","1","0","0","1"
"1106",1960,"PhD","Single",76045,0,0,2013-11-15,78,760,53,400,17,93,0,1,4,5,11,2,"0","0","0","1","0","0","0"
"1112",1983,"2n Cycle","Single",81698,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,"0","0","0","1","0","0","1"
"1134",1976,"Graduation","Together",85606,0,1,2012-11-12,89,717,42,864,219,30,84,2,6,7,9,3,"0","0","0","1","0","0","0"
"1135",1985,"Graduation","Single",72903,0,0,2013-10-29,74,1067,138,750,0,19,39,1,7,5,8,4,"0","1","1","1","0","0","1"
"1188",1952,"PhD","Single",62000,0,1,2013-08-25,25,899,0,101,0,0,20,1,6,6,13,4,"0","0","0","1","0","0","0"
"1223",1957,"2n Cycle","Divorced",77297,0,0,2013-01-26,84,408,61,109,48,122,41,1,5,7,9,4,"0","0","0","1","0","0","0"
"1251",1965,"PhD","Married",69969,0,0,2013-08-27,64,882,29,514,38,29,44,1,4,2,6,3,"0","0","1","1","0","0","1"
"1260",1969,"Graduation","Together",76653,0,0,2013-08-16,91,736,63,946,219,189,126,1,4,7,11,2,"0","0","1","1","0","0","0"
"1263",1982,"Master","Together",73450,0,0,2013-12-05,85,1142,51,415,90,69,37,1,7,8,11,3,"1","0","0","1","0","0","0"
"1266",1975,"Graduation","Divorced",83829,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,"1","0","1","1","0","0","1"
"1279",1978,"Graduation","Divorced",71847,0,0,2012-09-21,95,737,21,106,55,63,210,0,6,7,9,3,"0","0","0","1","0","0","0"
"1289",1972,"Master","Married",83151,0,0,2013-02-10,80,968,147,842,137,42,210,1,5,7,10,2,"1","0","1","1","0","0","1"
"1302",1953,"Graduation","Together",94384,0,0,2013-03-04,62,1111,24,790,160,45,172,0,5,8,5,2,"0","1","1","1","0","0","1"
"1309",1982,"Graduation","Married",65169,0,0,2014-01-14,23,1074,0,69,0,0,46,1,10,4,13,6,"1","0","1","1","1","0","1"
"1333",1962,"Graduation","Married",71434,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,"0","1","0","1","0","0","0"
"1335",1978,"Master","Married",88097,1,0,2012-08-18,24,163,0,480,0,126,75,1,6,5,8,9,"0","1","1","1","0","0","1"
"1412",1972,"Graduation","Married",80134,1,0,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6,"0","1","1","1","0","0","1"
"1414",1944,"Graduation","Married",80589,0,0,2014-01-22,25,507,93,520,242,40,26,1,5,10,5,1,"0","0","0","1","0","0","1"
"1433",1985,"Graduation","Married",92533,0,0,2013-12-19,84,693,21,118,110,147,42,1,6,5,11,2,"0","0","1","1","0","0","0"
"1444",1948,"Master","Widow",78427,0,0,2012-10-24,36,972,19,595,180,26,138,3,3,7,10,3,"0","0","0","1","0","0","1"
"1445",1946,"Graduation","Together",82657,0,0,2013-09-27,71,966,168,672,246,105,126,1,7,5,10,4,"0","1","0","1","0","0","0"
"1459",1970,"Graduation","Single",93790,0,0,2014-02-12,16,1302,68,731,89,114,45,0,6,7,12,2,"0","1","1","1","0","0","1"
"1488",1946,"PhD","Together",64014,2,1,2014-06-10,56,406,0,30,0,0,8,7,8,2,5,7,"0","0","0","1","0","0","0"
"1493",1988,"Graduation","Together",87679,0,0,2013-07-27,62,1259,172,815,97,148,33,1,7,11,10,4,"1","0","1","1","0","0","1"
"1529",1987,"PhD","Single",74004,0,0,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,"0","0","1","1","0","0","1"
"1554",1962,"Graduation","Together",76081,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,"0","0","0","1","0","0","0"
"1571",1946,"PhD","Single",82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,"0","0","1","1","0","0","1"
"1590",1987,"Graduation","Married",75794,0,0,2013-12-24,33,754,160,625,63,32,48,1,7,5,12,3,"0","0","0","1","0","0","0"
"1602",1956,"Master","Married",90226,0,0,2012-09-26,26,1083,108,649,253,151,108,1,4,7,12,2,"0","0","0","1","0","0","0"
"1660",1981,"Graduation","Single",72066,0,0,2014-06-23,55,1003,34,536,134,51,34,1,4,6,6,2,"0","0","1","1","0","0","1"
"1671",1985,"PhD","Single",37929,0,0,2013-07-30,49,202,2,46,3,2,10,2,4,2,5,7,"0","1","0","1","0","0","1"
"1674",1955,"2n Cycle","Married",72635,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,"0","0","0","1","0","0","0"
"1681",1978,"Graduation","Together",70440,0,0,2013-10-08,49,690,117,499,76,102,88,1,5,10,7,3,"0","0","0","1","0","0","0"
"1711",1986,"Graduation","Married",83512,0,0,2014-06-17,31,1060,61,835,80,20,101,1,4,7,10,1,"1","0","1","1","1","0","1"
"1712",1959,"Master","Married",77520,0,1,2013-08-28,30,940,44,396,0,88,58,1,8,7,7,4,"1","0","1","1","0","0","1"
"1722",1983,"PhD","Married",92491,0,0,2013-05-01,71,979,44,935,29,25,22,1,7,5,12,3,"0","1","1","1","0","0","1"
"1723",1991,"Graduation","Single",90273,0,0,2013-12-14,32,704,129,853,120,74,111,1,5,6,7,2,"0","1","1","1","0","0","1"
"1739",1959,"Graduation","Married",54984,0,1,2014-05-24,51,173,13,131,32,3,6,4,6,1,6,7,"0","0","0","1","0","0","0"
"1750",1949,"PhD","Married",80360,0,0,2013-03-03,56,1493,86,454,112,43,43,2,4,4,5,2,"0","1","1","1","0","0","0"
"1799",1964,"Graduation","Together",63404,0,2,2014-06-06,97,734,26,70,11,44,17,2,6,3,4,4,"0","0","0","1","0","0","0"
"1813",1969,"Master","Married",79734,0,0,2014-06-28,72,572,8,232,23,62,17,1,4,3,6,1,"0","0","0","1","0","0","0"
"1814",1992,"Graduation","Together",63207,0,0,2013-01-20,68,438,169,565,91,169,70,1,2,3,6,7,"0","0","0","1","0","0","0"
"1821",1962,"Graduation","Together",62568,0,1,2014-04-07,99,362,17,398,80,35,61,3,5,3,5,4,"0","0","0","1","0","0","0"
"1842",1953,"Master","Widow",84953,0,0,2013-06-03,73,167,48,602,63,72,72,1,3,10,4,2,"0","1","1","1","0","0","1"
"1846",1975,"PhD","Married",86836,0,0,2012-09-12,7,179,21,273,0,21,63,1,6,10,6,5,"1","0","1","1","0","0","1"
"1856",1971,"Master","Divorced",74290,0,1,2013-08-12,70,1121,0,72,0,12,12,4,10,8,10,6,"0","1","0","1","0","0","0"
"1870",1977,"2n Cycle","Together",82326,0,0,2014-03-10,30,938,142,754,159,81,183,1,5,10,6,2,"0","1","1","1","0","0","1"
"1878",1958,"Graduation","Married",72905,0,0,2014-01-21,52,407,114,445,181,165,203,1,3,7,9,1,"0","0","0","1","0","0","0"
"1892",1989,"Master","Together",88420,0,0,2014-05-02,87,957,153,612,99,95,153,1,4,7,8,1,"1","0","1","1","0","0","0"
"1894",1968,"Graduation","Divorced",61671,0,1,2014-06-03,23,641,7,56,0,0,28,8,10,4,6,8,"0","1","0","1","0","0","0"
"1914",1967,"Graduation","Married",77870,0,1,2012-08-22,93,1017,50,500,65,50,133,3,5,5,5,8,"0","1","0","1","0","0","1"
"1923",1956,"Graduation","Single",91249,0,0,2012-10-20,84,1324,27,119,71,108,27,0,7,9,6,4,"0","1","1","1","1","0","1"
"1941",1984,"PhD","Married",73356,0,0,2014-02-06,56,1050,14,322,0,14,112,1,5,11,5,2,"1","0","1","1","0","0","1"
"1969",1949,"Graduation","Widow",72643,0,0,2013-02-27,60,526,80,553,123,94,53,1,3,10,7,2,"0","0","0","1","0","0","1"
"1983",1951,"Graduation","Married",94642,0,0,2014-02-12,35,879,143,797,106,143,143,0,5,7,9,1,"0","0","1","1","0","0","0"
"1991",1963,"PhD","Divorced",72968,0,0,2013-12-16,8,1092,37,592,145,37,55,1,5,5,8,3,"0","0","0","1","0","0","1"
"1996",1980,"2n Cycle","Married",96547,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,"1","0","1","1","0","0","1"
"1997",1975,"Graduation","Married",79205,0,0,2012-08-29,73,504,23,117,179,28,44,1,6,5,4,4,"0","0","0","1","0","0","1"
"2013",1977,"Graduation","Together",96876,0,0,2013-08-06,79,908,43,735,40,194,21,1,7,7,9,2,"0","1","1","1","0","0","1"
"2048",1973,"Graduation","Married",65308,0,0,2013-09-11,60,713,0,264,120,80,34,1,7,8,12,4,"0","0","1","1","0","0","0"
"2052",1975,"Graduation","Single",55801,1,1,2013-09-22,35,367,4,51,6,4,95,6,7,2,6,7,"0","0","0","1","0","0","0"
"2094",1993,"Graduation","Absurd",79244,0,0,2012-12-19,58,471,102,125,212,61,245,1,4,10,7,1,"0","0","1","1","0","0","1"
"2132",1976,"Master","Single",72309,0,0,2013-03-11,64,960,0,883,50,38,0,1,5,6,8,3,"0","0","0","1","0","0","1"
"2152",1972,"Graduation","Married",69209,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,"0","0","0","1","0","0","0"
"2164",1949,"2n Cycle","Widow",74859,0,0,2013-06-03,63,570,73,614,133,102,73,1,6,5,11,3,"0","0","0","1","0","0","0"
"2168",1990,"Master","Single",91172,0,0,2013-03-27,94,162,28,818,0,28,56,0,4,3,7,3,"1","0","1","1","1","0","1"
"2169",1984,"Graduation","Married",90000,0,0,2013-12-23,91,675,144,133,94,192,241,1,4,8,5,1,"1","0","1","1","0","0","0"
"2175",1955,"Graduation","Married",65210,0,1,2014-03-10,25,626,0,70,0,7,28,2,9,3,8,6,"0","1","0","1","0","0","0"
"2176",1975,"PhD","Married",79174,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,"0","0","1","1","0","0","1"
"2194",1957,"2n Cycle","Married",82347,0,0,2012-11-06,38,556,54,845,202,133,63,1,7,7,10,3,"1","0","0","1","0","0","1"
"2237",1946,"PhD","Together",64014,2,1,2014-06-10,56,406,0,30,0,0,8,7,8,2,5,7,"0","0","0","1","0","0","0"
